HOSPITALID,HOSPITALNAME
30,Advocate Aurora
58,Test Company
116,Lake Regional HealthCare
132,The New Big Bob's Hospital Emproium
86,The Russell Hospital Corporation
86,"Wake Forest Cornerstone Health Care, LLC"
87,OSF Healthcare System
87,Memorial Hermann
88,Magnolia Regional Health Center
88,Northside Atlanta
89,Huntsville Hospital
89,Northside Forsyth
90,St. Joseph's Candler Health System
90,Northside Laureate
91,UVA Medical Center
91,Northside Cherokee
92,CentraState Medical Center Inc
92,Beacon Health System
93,Altru Health System
93,Carilion Clinic
94,Hoag Memorial Hospital
94,United Regional
95,GHX TEST COMPANY      
95,Wake Forest Wilkes
96,Blaze Health LLC
96,Mercy Health
97,Shared Service Systems
97,Houston Methodist
98,Mon Health Medical Center
98,HONOR HEALTH
99,Stanford Health Care
99,CEO Validation
100,Stanford Blood Center
100,HCA INC
101,Stanford ValleyCare
43,Olathe Medical Center
43,Dignity Health
44,Spectrum Health
45,Arkansas Heart
45,John Muir Health
46,Nebraska Orthopaedic
46,Sisters of Charity Leavenworth Health System
47,Nebraska Medical Center
47,BEAUFORT MEMORIAL HOSPITAL
47,Main Line Health
48,Kish Health
48,IASIS Healthcare
48,Stamford Hospital
49,Lakeside Surgical Hospital
49,Catholic Health Initiatives Mellon
49,Baylor Health Care System
50,Cardinal - TNMC
50,University of Chicago Medical Center
51,COLUMBUS COMMUNITY HOSPITAL
51,UMC Lubbock
52,TENASKA
52,UCHealth
53,BLUE CROSS BLUE SHIELD OF NEBRASKA
53,Catholic Health Initiatives
53,Shannon Health (TX)
54,CENTEGRA HEALTH
54,UNITY HEALTH
54,Children's Hospital of Alabama
55,Kearney Regional Medical Center
55,INTEGRIS HEALTH BOK
55,Jackson Health
70,Jack Hughston Memorial Hospital
70,CHRISTUS HEALTH
71,Trinity Health PeopleSoft
71,WVUH Berkeley Medical Center
72,SALINA REGIONAL HEALTH CENTER
72,WVUH Camden Clark Medical Center
73,Providence Health & Services
73,WVUH Jefferson Medical Center
74,Greater Baltimore Medical Center
74,WVUH United Hospital Center
75,"SOUTHCOAST HEALTH SYSTEM, INC."
75,WVUH University Health Associates
76,Partners Health System
76,WVUH/WV University Hospitals
